Year,Rank,Fight,Event,Date,Result,Is UFC
2014,1,Hendricks vs. Lawler,UFC 171,Mar 2014,1,True
2014,2,Aldo vs. Mendes II,UFC 179,Oct 2014,2,True
2014,3,Weidman vs. Machida,UFC 175,Jul 2014,3,True
2014,4,Brown vs. Silva,UFC Fight Night 40,May 2014,4,True
2014,5,Rua vs. Henderson II,UFC Fight Night 38,Mar 2014,5,True
2014,6,Barão vs. Dillashaw,UFC 173,May 2014,6,True
2014,7,dos Santos vs. Miocic,UFC on FOX 13,Dec 2014,7,True
2014,8,Lawler vs. Brown,UFC on FOX 12,Jul 2014,8,True
2014,9,Kennedy vs. Romero,UFC 178,Sep 2014,9,True
2014,10,Varner vs. Trujillo,UFC 169,Feb 2014,10,True
2014,11,Saffiedine vs. Lim,UFC Fight Night 34,Jan 2014,11,True
2014,12,Brunson vs. Romero,UFC Fight Night 35,Jan 2014,12,True
2014,13,Pettis vs. Caceres,UFC on FOX 10,Jan 2014,13,True
2014,14,Swanson vs. Stephens,UFC Fight Night 44,Jun 2014,14,True
2014,15,Alvarez vs. Cerrone,UFC 178,Sep 2014,15,True
2014,16,Ozkilic vs. Smolka,UFC Fight Night 35,Jan 2014,16,True
2014,17,Gadelha vs. Jędrzejczyk,UFC on FOX 13,Dec 2014,17,True
2014,18,Straus vs. Curran III,Bellator 112,Mar 2014,18,False
2014,19,Hendricks vs. Lawler II,UFC 181,Dec 2014,19,True
2014,20,Henderson vs. Thomson,UFC on FOX 10,Jan 2014,20,True
2014,21,MacDonald vs. Maia,UFC 170,Feb 2014,21,True
2014,22,Zingano vs. Nunes,UFC 178,Sep 2014,22,True
2014,23,Dillashaw vs. Easton,UFC Fight Night 35,Jan 2014,23,True
2014,24,Poirier vs. Corassani,UFC Fight Night,Apr 2014,24,True
2014,25,Werdum vs. Hunt,UFC 180,Nov 2014,25,True
2014,26,Whittaker vs. Hester,UFC Fight Night 55,Nov 2014,26,True
2014,27,Siver vs. Rosa,UFC Fight Night 53,Oct 2014,27,True
2014,28,Makovsky vs. Sampo,UFC 170,Feb 2014,28,True
2014,29,Gastelum vs. Story,UFC 171,Mar 2014,29,True
2014,30,Jones vs. Teixeira,UFC 172,Apr 2014,30,True
2014,31,Hioki vs. Oliveira,UFC Fight Night 43,Jun 2014,31,True
2014,32,Rousey vs. Davis,UFC 175,Jul 2014,32,True
2014,34,Lauzon vs. Chiesa,UFC Fight Night 50,Sep 2014,34,True
2014,33,Baczynski vs. Jouban,UFC Fight Night 47,Aug 2014,33,True
2014,36,Doane vs. Issa,UFC Fight Night 34,Jan 2014,36,True
2014,35,Hathaway vs. Kim,UFC Fight Night,Mar 2014,35,True
2014,37,Alcântara vs. Reis,UFC Fight Night 36,Feb 2014,37,True
2014,38,Machida vs. Mousasi,UFC Fight Night 36,Feb 2014,38,True
2014,39,Hunt vs. Nelson,UFC Fight Night 52,Sep 2014,39,True
2014,40,Condit vs. Woodley,UFC 171,Mar 2014,40,True
2014,41,Lineker vs. Ozkilic,UFC Fight Night 45,Jul 2014,41,True
2014,43,Thomson vs. Green,UFC on FOX 12,Jul 2014,43,True
2014,42,Ortega vs. Koch,RFA 12,Jan 2014,42,False
2014,45,Nam vs. Tokudome,UFC Fight Night,Mar 2014,45,True
2014,44,Gomi vs. Vallie-Flagg,UFC 172,Apr 2014,44,True
2014,46,Garcia vs. Spencer,UFC 171,Mar 2014,46,True
2014,48,Gibson vs. Sterling,UFC 170,Feb 2014,48,True
2014,47,Cerrone vs. Barboza,UFC on FOX 11,Apr 2014,47,True
2014,49,Pickett vs. Seery,UFC Fight Night 37,Mar 2014,49,True
2014,51,Cerrone vs. Miller,UFC Fight Night 45,Jul 2014,51,True
2014,50,VanZant vs. Curran,UFC Fight Night 57,Nov 2014,50,True
2014,52,Holloway vs. Chope,UFC Fight Night 34,Jan 2014,52,True
2014,53,Pettis vs. Melendez,UFC 181,Dec 2014,53,True
2014,54,Gaethje vs. Guillard,WSOF 15,Nov 2014,54,False
2014,56,Blanco vs. Hooker,UFC Fight Night 52,Sep 2014,56,True
2014,55,Penne vs. Markos,The Ultimate Fighter 20 Finale,Dec 2014,55,False
2014,58,Pennington vs. Andrade,UFC 171,Mar 2014,58,True
2014,57,Nelson vs. Story,UFC Fight Night 53,Oct 2014,57,True
2014,59,Kwon vs. Choi,Road FC 14,Feb 2014,59,False
2014,60,Borg vs. Ortiz,UFC on FOX 11,Apr 2014,60,True
2014,63,Newton vs. Vassell,Bellator 130,Oct 2014,63,False
2014,62,Holloway vs. Fili,UFC 172,Apr 2014,62,True
2014,61,Holloway vs. Collard,UFC Fight Night 49,Aug 2014,61,True
2014,65,Gaethje vs. Patishnock,WSOF 8,Jan 2014,65,False
2014,64,Davis vs. Eye,UFC 170,Feb 2014,64,True
2014,66,Waterson-Gomez vs. Tiburcio,Invicta FC 10,Dec 2014,66,False
2014,67,Almeida vs. Gorman,UFC Fight Night 56,Nov 2014,67,True
2014,71,Benavidez vs. Ortiz,UFC Fight Night 57,Nov 2014,71,True
2014,70,Lineker vs. Bagautinov,UFC 169,Feb 2014,70,True
2014,69,Materla vs. Silva III,KSW 26,Mar 2014,69,False
2014,68,Kaufman vs. Smith II,UFC Fight Night,Apr 2014,68,True
2014,74,Carter vs. Wilde,Cage Warriors 74,Nov 2014,74,False
2014,73,Ortiz vs. Scoggins,The Ultimate Fighter 19 Finale,Jul 2014,73,False
2014,72,Kikuno vs. Mulhern,UFC Fight Night 34,Jan 2014,72,True
2014,75,Kawajiri vs. Guida,UFC Fight Night 39,Apr 2014,75,True
2014,79,Tavares vs. Boetsch,UFC Fight Night 47,Aug 2014,79,True
2014,78,Lombard vs. Shields,UFC 171,Mar 2014,78,True
2014,77,McGregor vs. Poirier,UFC 178,Sep 2014,77,True
2014,76,Werdum vs. Browne,UFC on FOX 11,Apr 2014,76,True
2014,80,Létourneau vs. Phillips,UFC 174,Jun 2014,80,True
2014,84,Miller vs. Sicilia,UFC Fight Night 35,Jan 2014,84,True
2014,83,Shlemenko vs. Ward,Bellator 114,Mar 2014,83,False
2014,82,Curran vs. Pitbull II,Bellator 123,Sep 2014,82,False
2014,81,Namajunas vs. Esparza,The Ultimate Fighter 20 Finale,Dec 2014,81,False
2014,86,Chandler vs. Brooks,Bellator 120,May 2014,86,False
2014,85,Wood vs. Namajunas,The Ultimate Fighter Season 20,Aug 2014,85,False
2012,1,Poirier vs. Jung,UFC on FUEL TV 3,May 2012,1,True
2012,2,Edgar vs. Henderson,UFC 144,Feb 2012,2,True
2012,3,St-Pierre vs. Condit,UFC 154,Nov 2012,3,True
2012,4,Lauzon vs. Miller,UFC 155,Dec 2012,4,True
2012,5,Lauzon vs. Varner,UFC on FOX 4,Aug 2012,5,True
2012,6,Tate vs. Rousey,Strikeforce,Mar 2012,6,False
2012,7,Diaz vs. Condit,UFC 143,Feb 2012,7,True
2012,8,Ellenberger vs. Sanchez,UFC on FUEL TV 1,Feb 2012,8,True
2012,9,Johnson vs. McCall I,UFC on FX 2,Mar 2012,9,True
2012,10,Barboza vs. Etim,UFC 142,Jan 2012,10,True
2012,11,Aldo vs. Mendes,UFC 142,Jan 2012,11,True
2012,12,Rua vs. Vera,UFC on FOX 4,Aug 2012,12,True
2012,13,Silva vs. Sonnen II,UFC 148,Jul 2012,13,True
2012,14,Belfort vs. Johnson,UFC 142,Jan 2012,14,True
2012,15,Nelson vs. Werdum,UFC 143,Feb 2012,15,True
2012,16,Fitch vs. Silva,UFC 153,Oct 2012,16,True
2012,17,Cerrone vs. Guillard,UFC 150,Aug 2012,17,True
2012,18,Okami vs. Boetsch,UFC 144,Feb 2012,18,True
2012,19,Menjivar vs. Albert,UFC on FUEL TV 1,Feb 2012,19,True
2012,20,Barnett vs. Cormier,Strikeforce,May 2012,20,False
2012,21,Alves vs. Kampmann,UFC on FX 2,Mar 2012,21,True
2012,22,Marquardt vs. Woodley,Strikeforce,Jul 2012,22,False
2012,24,Belcher vs. Palhares,UFC on FOX 3,May 2012,24,True
2012,23,Ellenberger vs. Kampmann,The Ultimate Fighter 15 Finale,Jun 2012,23,False
2012,25,Benavidez vs. Johnson,UFC 152,Sep 2012,25,True
2012,26,Jones vs. Belfort,UFC 152,Sep 2012,26,True
2012,27,Diaz vs. Miller,UFC on FOX 3,May 2012,27,True
2012,28,Gaudinot vs. Lineker,UFC on FOX 3,May 2012,28,True
2012,29,Guillard vs. Miller,UFC on FX 1,Jan 2012,29,True
2012,30,Silva vs. Franklin II,UFC 147,Jun 2012,30,True
2012,31,Dunham vs. Grant,UFC 152,Sep 2012,31,True
2012,32,Barry vs. Morecraft,UFC on FX 1,Jan 2012,32,True
2012,33,Melendez vs. Thomson III,Strikeforce,May 2012,33,False
2012,34,Thompson vs. Brown,UFC 145,Apr 2012,34,True
2012,35,Pitbull vs. Mix,Bellator 62,Mar 2012,35,False
2012,36,Griffin vs. Ortiz III,UFC 148,Jul 2012,36,True
2012,37,Sonnen vs. Bisping,UFC on FOX 2,Jan 2012,37,True
2012,38,Pokrajac vs. Maldonado,UFC on FUEL TV 3,May 2012,38,True
2012,39,Rockhold vs. Jardine,Strikeforce,Jan 2012,39,False
2012,40,Hominick vs. Yagin,UFC 145,Apr 2012,40,True
2012,41,dos Santos vs. Velasquez II,UFC 155,Dec 2012,41,True
2012,42,Swanson vs. Roop,UFC on FOX 2,Jan 2012,42,True
2012,43,Swick vs. Johnson,UFC on FOX 4,Aug 2012,43,True
2012,44,Neer vs. Ludwig,UFC on FX 1,Jan 2012,44,True
2012,45,Lawler vs. Amagov,Strikeforce,Jan 2012,45,False
2012,46,Pickett vs. Page,UFC on FUEL TV 2,Apr 2012,46,True
2012,47,Beltran vs. Te Huna,UFC on FUEL TV 4,Jul 2012,47,True
2012,48,Jones vs. Evans,UFC 145,Apr 2012,48,True
2012,50,Tate vs. Kedzie,Strikeforce,Aug 2012,50,False
2012,49,Jorgensen vs. Wineland,UFC on FX 3,Jun 2012,49,True
2012,51,Silva vs. Bonnar,UFC 153,Oct 2012,51,True
2012,52,Dunham vs. Lentz,UFC on FOX 2,Jan 2012,52,True
2012,53,Henderson vs. Diaz,UFC on FOX 5,Dec 2012,53,True
2012,54,Kaufman vs. Davis,Strikeforce,Mar 2012,54,False
2012,56,Henderson vs. Edgar II,UFC 150,Aug 2012,56,True
2012,55,Struve vs. Miocic,UFC on FUEL TV 5,Sep 2012,55,True
2012,57,dos Santos vs. Mir,UFC 146,May 2012,57,True
2012,58,Zwicker vs. Inocente,Strikeforce,May 2012,58,False
2012,59,Easton vs. Papazian,UFC on FX 1,Jan 2012,59,True
2012,60,Gomi vs. Mitsuoka,UFC 144,Feb 2012,60,True
2012,61,Poirier vs. Holloway,UFC 143,Feb 2012,61,True
2012,62,Johnson vs. McCall II,UFC on FX 3,Jun 2012,62,True
2012,63,Machida vs. Bader,UFC on FOX 4,Aug 2012,63,True
2012,64,Denis vs. Delorme,UFC on FOX 3,May 2012,64,True
2012,65,Warren vs. Curran,Bellator 60,Mar 2012,65,False
2012,66,Palhares vs. Massenzio,UFC 142,Jan 2012,66,True
2012,67,Rousey vs. Kaufman,Strikeforce,Aug 2012,67,False
2012,68,Yamamoto vs. Lee,UFC 144,Feb 2012,68,True
2012,69,Barboza vs. Varner,UFC 146,May 2012,69,True
2012,70,Pickett vs. Jabouin,UFC on FUEL TV 5,Sep 2012,70,True
2012,71,Schaub vs. Rothwell,UFC 145,Apr 2012,71,True
2012,72,Pettis vs. Lauzon,UFC 144,Feb 2012,72,True
2012,73,Pearson vs. Swanson,UFC on FX 4,Jun 2012,73,True
2012,74,Nelson vs. Mitrione,The Ultimate Fighter 16 Finale,Dec 2012,74,False
2012,75,Rogers vs. Spang,Bellator 66,Apr 2012,75,False
2012,76,Barry vs. Del Rosario,The Ultimate Fighter 16 Finale,Dec 2012,76,False
2012,77,Alvarez vs. Pitbull,Bellator 76,Oct 2012,77,False
2012,78,Brookins vs. Poirier,The Ultimate Fighter 16 Finale,Dec 2012,78,False
2012,80,Holloway vs. Garcia,UFC 155,Dec 2012,80,True
2012,79,Kongo vs. Hunt,UFC 144,Feb 2012,79,True
2012,81,Rivera vs. Schafer,UFC on FX 1,Jan 2012,81,True
2012,82,Riddle vs. Martinez,UFC 143,Feb 2012,82,True
2012,83,Guillard vs. Varner,UFC 155,Dec 2012,83,True
2012,84,Pickett vs. Wineland,UFC 155,Dec 2012,84,True
2012,85,Alvarez vs. Aoki II,Bellator 66,Apr 2012,85,False
2012,86,McGregor vs. Buchinger,Cage Warriors 51,Dec 2012,86,False
2012,87,Hill vs. McGregor,Cage Warriors 47,Jun 2012,87,False
2012,88,De Fries vs. Miocic,UFC on FUEL TV 1,Feb 2012,88,True
2012,89,Souza vs. Brunson,Strikeforce,Aug 2012,89,False
2012,90,Teixeira vs. Maldonado,UFC 153,Oct 2012,90,True
2012,91,Lombard vs. Palhares,UFC on FX 6,Dec 2012,91,True
2012,92,Barry vs. Johnson,UFC on FOX 3,May 2012,92,True
2012,93,Benavidez vs. Urushitani,UFC on FX 2,Mar 2012,93,True
2012,94,Browne vs. Silva,UFC on FX 5,Oct 2012,94,True
2012,96,Edwards vs. Stephens,UFC on FOX 5,Dec 2012,96,True
2012,95,Stittgen vs. Thompson,UFC 143,Feb 2012,95,True
2012,97,Hardy vs. Ludwig,UFC 146,May 2012,97,True
2012,99,Kingsbury vs. Teixeira,UFC 146,May 2012,99,True
2012,98,Holloway vs. Lawrence,UFC 150,Aug 2012,98,True
2012,100,Dodson vs. Formiga,UFC on FX 5,Oct 2012,100,True
2012,101,Swick vs. Brown,UFC on FOX 5,Dec 2012,101,True
2012,103,Bermudez vs. Hayden,UFC 150,Aug 2012,103,True
2012,102,Shalorus vs. Nurmagomedov,UFC on FX 1,Jan 2012,102,True
2012,104,Chandler vs. Gono,Bellator 67,May 2012,104,False
2012,105,Stone vs. Perez,UFC 150,Aug 2012,105,True
2012,108,Jimmo vs. Perosh,UFC 149,Jul 2012,108,True
2012,107,Lawal vs. Larkin,Strikeforce,Jan 2012,107,False
2012,106,Gomi vs. Danzig,UFC on FUEL TV 6,Nov 2012,106,True
2012,109,Larkin vs. Lawler,Strikeforce,Jul 2012,109,False
2012,110,Muñoz vs. Weidman,UFC on FUEL TV 4,Jul 2012,110,True
2012,111,Salas vs. Means,UFC on FX 3,Jun 2012,111,True
2012,112,Oliveira vs. Wisely,UFC on FOX 2,Jan 2012,112,True
2012,114,Beltran vs. Johnson,UFC on FOX 2,Jan 2012,114,True
2012,113,Omigawa vs. Alcântara,UFC 142,Jan 2012,113,True
2012,115,Swanson vs. Oliveira,UFC 152,Sep 2012,115,True
2012,117,Nogueira vs. Herman,UFC 153,Oct 2012,117,True
2012,116,Saffiedine vs. Stinson,Strikeforce,Jan 2012,116,False
2012,118,St. Preux vs. Cook,Strikeforce,Aug 2012,118,False
2012,119,Stann vs. Sakara,UFC on FUEL TV 2,Apr 2012,119,True
2012,120,O'Keefe vs. McGregor,Cage Warriors 45,Feb 2012,120,False
2012,121,Dillashaw vs. Lee,UFC on FUEL TV 4,Jul 2012,121,True
2012,122,Koscheck vs. Hendricks,UFC on FOX 3,May 2012,122,True
2012,123,Young vs. Smith,Invicta FC 1,Apr 2012,123,False
2012,124,Holloway vs. Schilling,The Ultimate Fighter 15 Finale,Jun 2012,124,False
2012,126,Johnson vs. Castillo,UFC on FX 5,Oct 2012,126,True
2012,125,Jorgensen vs. Albert,UFC on FOX 5,Dec 2012,125,True
2012,127,Del Rosario vs. Miocic,UFC 146,May 2012,127,True
2012,128,Pearson vs. Sotiropoulos,UFC on FX 6,Dec 2012,128,True
2012,130,Burrell vs. Spang,Strikeforce,May 2012,130,False
2012,129,D'Alelio vs. Porto,Invicta FC 2,Jul 2012,129,False
2012,132,Pineda vs. Carvalho,UFC 149,Jul 2012,132,True
2012,131,Franklin vs. Le,UFC on FUEL TV 6,Nov 2012,131,True
2012,135,Natal vs. Craig,UFC on FUEL TV 4,Jul 2012,135,True
2012,134,Nunes vs. Canuto,Invicta FC 2,Jul 2012,134,False
2012,133,Bowling vs. Saling,Strikeforce,Mar 2012,133,False
2012,136,Elliott vs. Papazian,The Ultimate Fighter 16 Finale,Dec 2012,136,False
2012,137,Jorgensen vs. Barão,UFC 143,Feb 2012,137,True
2012,138,Neer vs. Pyle,UFC on FX 3,Jun 2012,138,True
2012,139,Brown vs. Cope,UFC 143,Feb 2012,139,True
2012,140,Brown vs. Ramos,UFC on FX 4,Jun 2012,140,True
2012,141,Penn vs. MacDonald,UFC on FOX 5,Dec 2012,141,True
2012,142,Jason vs. Sicilia,UFC 153,Oct 2012,142,True
2012,143,Maia vs. Story,UFC 153,Oct 2012,143,True
2012,144,Rockhold vs. Kennedy,Strikeforce,Jul 2012,144,False
2012,146,Cruickshank vs. Martinez,UFC on FOX 5,Dec 2012,146,True
2012,145,Petz vs. Juskevic,Score Fighting Series 4,Mar 2012,145,False
2012,147,Cerrone vs. Stephens,UFC on FUEL TV 3,May 2012,147,True
2012,148,Hendricks vs. Kampmann,UFC 154,Nov 2012,148,True
2012,149,Frausto vs. Eye,Bellator 83,Dec 2012,149,False
2012,150,Caraway vs. Gagnon,UFC 149,Jul 2012,150,True
2012,151,Masvidal vs. Wilcox,Strikeforce,Jul 2012,151,False
2012,153,Izquierdo vs. Madadi,UFC on FUEL TV 2,Apr 2012,153,True
2012,152,Struve vs. Herman,UFC on FUEL TV 1,Feb 2012,152,True
2012,155,Watson vs. Dillashaw,UFC on FUEL TV 1,Feb 2012,155,True
2012,154,Herman vs. Starks,UFC 143,Feb 2012,154,True
2012,156,Queiroz vs. Volkov,Bellator 80,Nov 2012,156,False
2012,157,Iaquinta vs. Chiesa,The Ultimate Fighter 15 Finale,Jun 2012,157,False
2012,158,Leroux vs. Nadon,Hybrid 15,Nov 2012,158,False
2012,159,Watson vs. Gagnon,UFC 152,Sep 2012,159,True
2012,160,Baroud vs. Albert,Hybrid 15,Nov 2012,160,False
2012,162,Souza vs. Marunde,Strikeforce,Mar 2012,162,False
2012,161,Whittaker vs. Scott,UFC on FX 6,Dec 2012,161,True
2012,164,Carmouche vs. Young,Invicta FC 2,Jul 2012,164,False
2012,163,Hardy vs. Sadollah,UFC on FUEL TV 5,Sep 2012,163,True
2012,165,Koreshkov vs. Howard,Bellator 63,Mar 2012,165,False
2012,166,Koreshkov vs. Krantz,Bellator 69,May 2012,166,False
2012,167,Stout vs. Tavares,UFC 142,Jan 2012,167,True
2012,168,Couture vs. Heun,Strikeforce,Mar 2012,168,False
2012,170,MacDonald vs. Mills,UFC 145,Apr 2012,170,True
2012,169,Evans vs. Davis,UFC on FOX 2,Jan 2012,169,True
2012,171,Johnson vs. Struve,UFC 146,May 2012,171,True
2012,172,Young vs. Smith II,Invicta FC 3,Oct 2012,172,False
2012,173,Penne vs. Sugiyama,Invicta FC 3,Oct 2012,173,False
2012,174,Rickels vs. Smith,Bellator 63,Mar 2012,174,False
2012,175,Amoussou vs. Lozano,Bellator 63,Mar 2012,175,False
2012,176,Penne vs. Ellis,Invicta FC 1,Apr 2012,176,False
2012,178,Sayers vs. Smith,Strikeforce,Aug 2012,178,False
2012,177,Hamman vs. Kuiper,UFC 150,Aug 2012,177,True
2012,181,Green vs. Terry,Strikeforce,May 2012,181,False
2012,180,Gonzaga vs. Oliveira,UFC 142,Jan 2012,180,True
2012,179,McMann vs. Baszler,Invicta FC 2,Jul 2012,179,False
2012,182,Hettes vs. Brimage,UFC 152,Sep 2012,182,True
2012,184,Simpson vs. Pierce,UFC on FX 5,Oct 2012,184,True
2012,183,Hioki vs. Palaszewski,UFC 144,Feb 2012,183,True
2012,185,Rua vs. Gustafsson,UFC on FOX 5,Dec 2012,185,True
2012,186,Tibau vs. Nurmagomedov,UFC 148,Jul 2012,186,True
2012,187,Malungahu vs. Gomes,Invicta FC 3,Oct 2012,187,False
2012,188,Rogers vs. Volkov,Bellator 75,Oct 2012,188,False
2012,189,Amagov vs. Berry,Strikeforce,Aug 2012,189,False
2012,190,Yvel vs. Alexander,RFA 2,Mar 2012,190,False
2012,191,Ford vs. Santos,Bellator 67,May 2012,191,False
2012,194,Boughton vs. Newton,Bellator 71,Jun 2012,194,False
2012,193,Phan vs. Miller,UFC on FOX 4,Aug 2012,193,True
2012,192,Caceres vs. Figueroa,UFC 143,Feb 2012,192,True
2012,195,Clementi vs. Held,Bellator 81,Nov 2012,195,False
2012,197,Rickels vs. Amoussou,Bellator 69,May 2012,197,False
2012,196,Ricci vs. Ronson,Score Fighting Series 5,Aug 2012,196,False
2012,198,Cavalcante vs. Kyle II,Strikeforce,May 2012,198,False
2012,200,de Randamie vs. Yamanaka,Strikeforce,Aug 2012,200,False
2012,199,Santos vs. Hale,Bellator 79,Nov 2012,199,False
2012,201,Silva vs. Nedkov,UFC on FUEL TV 6,Nov 2012,201,True
2012,203,Nunes vs. Palaszewski,UFC on FX 5,Oct 2012,203,True
2012,202,Schermerhorn vs. Gambill,ProElite 3,Jan 2012,202,False
2012,205,Johnson vs. Nelson,UFC on FUEL TV 5,Sep 2012,205,True
2012,204,Schilling vs. Pineda,UFC on FX 1,Jan 2012,204,True
2012,207,Velasquez vs. Silva,UFC 146,May 2012,207,True
2012,206,Nijem vs. Proctor,UFC on FOX 5,Dec 2012,206,True
2012,209,Makovsky vs. Dantas,Bellator 65,Apr 2012,209,False
2012,208,Parker vs. Kelleher,NEF 1,Feb 2012,208,False
2012,211,West vs. Budd,Invicta FC 3,Oct 2012,211,False
2012,210,Jones vs. Kelleher,WCMMA 1,Sep 2012,210,False
2012,213,Romero vs. Veal,Bellator 67,May 2012,213,False
2012,212,Chavez vs. Kelleher,CFFC 14,Apr 2012,212,False
2012,214,Kelleher vs. Vaccaro,Rock Out Knock Out,Jun 2012,214,False
2016,1,Lawler vs. Condit,UFC 195,Jan 2016,1,True
2016,2,Diaz vs. McGregor II,UFC 202,Aug 2016,2,True
2016,3,McGregor vs. Diaz,UFC 196,Mar 2016,3,True
2016,4,Swanson vs. Choi,UFC 206,Dec 2016,4,True
2016,5,Dillashaw vs. Cruz,UFC Fight Night 81,Jan 2016,5,True
2016,6,Silva vs. Bisping,UFC Fight Night 84,Feb 2016,6,True
2016,7,Cruz vs. Garbrandt,UFC 207,Dec 2016,7,True
2016,8,Ferguson vs. Vannata,UFC Fight Night 91,Jul 2016,8,True
2016,9,Jędrzejczyk vs. Gadelha II,The Ultimate Fighter 23 Finale,Jul 2016,9,False
2016,10,Bisping vs. Henderson II,UFC 204,Oct 2016,10,True
2016,11,Holm vs. Tate,UFC 196,Mar 2016,11,True
2016,12,Woodley vs. Thompson,UFC 205,Nov 2016,12,True
2016,13,Bossé vs. O'Connell,UFC Fight Night 89,Jun 2016,13,True
2016,14,Poirier vs. Duffy,UFC 195,Jan 2016,14,True
2016,15,dos Anjos vs. Ferguson,UFC Fight Night 98,Nov 2016,15,True
2016,16,Cerrone vs. Brown,UFC 206,Dec 2016,16,True
2016,17,Miocic vs. Overeem,UFC 203,Sep 2016,17,True
2016,18,Rockhold vs. Bisping II,UFC 199,Jun 2016,18,True
2016,19,Akhmedov vs. Zaleski,UFC on FOX 19,Apr 2016,19,True
2016,20,Henderson vs. Lombard,UFC 199,Jun 2016,20,True
2016,21,Ma vs. Reyes,UFC 199,Jun 2016,21,True
2016,22,Rodriguez vs. Caceres,UFC Fight Night 92,Aug 2016,22,True
2016,23,Brunson vs. Whittaker,UFC Fight Night 101,Nov 2016,23,True
2016,24,Jouban vs. Muhammad,UFC Fight Night 90,Jul 2016,24,True
2016,26,Cannonier vs. Cutelaba,The Ultimate Fighter 24 Finale,Dec 2016,26,False
2016,25,Lombard vs. Magny,UFC Fight Night 85,Mar 2016,25,True
2016,27,Jędrzejczyk vs. Kowalkiewicz II,UFC 205,Nov 2016,27,True
2016,28,Perry vs. Roberts,UFC 204,Oct 2016,28,True
2016,29,Holloway vs. Lamas,UFC 199,Jun 2016,29,True
2016,30,Cerrone vs. Cote,UFC Fight Night 89,Jun 2016,30,True
2016,31,Chandler vs. Henderson,Bellator 165,Nov 2016,31,False
2016,33,Almeida vs. Garbrandt,UFC Fight Night 88,May 2016,33,True
2016,32,Alers vs. Knight,UFC on FOX 20,Jul 2016,32,True
2016,36,Benavidez vs. Cejudo,The Ultimate Fighter 24 Finale,Dec 2016,36,False
2016,35,Rodriguez vs. Fili,UFC 197,Apr 2016,35,True
2016,34,Gaethje vs. Firmino,WSOF 34,Dec 2016,34,False
2016,37,Lee vs. Yamaguchi,ONE Championship,May 2016,37,False
2016,38,Miller vs. Lauzon II,UFC on FOX 21,Aug 2016,38,True
2016,41,Aldo vs. Edgar II,UFC 200,Jul 2016,41,True
2016,40,Yahya vs. Lopez,UFC Fight Night 91,Jul 2016,40,True
2016,39,Tokov vs. Aguev,Absolute Championship Berkut 38,May 2016,39,False
2016,42,Chiesa vs. Dariush,UFC on FOX 19,Apr 2016,42,True
2016,44,Yan vs. Magomedov,Absolute Championship Berkut 32,Mar 2016,44,False
2016,43,Ortega vs. Brandão,UFC 195,Jan 2016,43,True
2016,47,Campbell vs. Krause,UFC Fight Night 83,Feb 2016,47,True
2016,46,McDonald vs. Kanehara,UFC 195,Jan 2016,46,True
2016,45,Pettis vs. Oliveira,UFC on FOX 21,Aug 2016,45,True
2016,48,Pennington vs. Namajunas II,UFC on FOX 19,Apr 2016,48,True
2016,51,Larkin vs. Tumenov,UFC 195,Jan 2016,51,True
2016,50,Guida vs. Ortega,UFC 199,Jun 2016,50,True
2016,49,Lineker vs. Dodson,UFC Fight Night 96,Oct 2016,49,True
2016,53,Trator vs. Burgos,UFC Fight Night 102,Dec 2016,53,True
2016,52,McDonald vs. Lineker,UFC Fight Night 91,Jul 2016,52,True
2016,56,Létourneau vs. Wood,UFC Fight Night 89,Jun 2016,56,True
2016,55,Alvarez vs. McGregor,UFC 205,Nov 2016,55,True
2016,54,Felder vs. Cruickshank,UFC Fight Night 81,Jan 2016,54,True
2016,58,Arlovski vs. Barnett,UFC Fight Night 93,Sep 2016,58,True
2016,57,Slice vs. 5000,Bellator 149,Feb 2016,57,False
2016,59,Pokrajac vs. Błachowicz,UFC Fight Night 86,Apr 2016,59,True
2016,60,Lawler vs. Woodley,UFC 201,Jul 2016,60,True
2016,62,Briones vs. Silva de Andrade,UFC Fight Night 98,Nov 2016,62,True
2016,61,Kennedy vs. Gastelum,UFC 206,Dec 2016,61,True
2016,63,Alcântara vs. Rivera,UFC on FOX 18,Jan 2016,63,True
2016,64,Bader vs. Latifi,UFC Fight Night 93,Sep 2016,64,True
2016,66,Trinaldo vs. Medeiros,UFC 198,May 2016,66,True
2016,65,Johnson vs. Elliott,The Ultimate Fighter 24 Finale,Dec 2016,65,False
2016,67,Barão vs. Stephens,UFC Fight Night 88,May 2016,67,True
2016,68,Rothwell vs. dos Santos,UFC Fight Night 86,Apr 2016,68,True
2016,71,Nguyen vs. Smolka,UFC Fight Night 91,Jul 2016,71,True
2016,70,Júnior vs. Kelly,UFC Fight Night 85,Mar 2016,70,True
2016,69,Emelianenko vs. Maldonado,Fight Nights Global 50,Jun 2016,69,False
2016,72,Roberts vs. Steele,UFC 197,Apr 2016,72,True
2016,74,Northcutt vs. Barberena,UFC on FOX 18,Jan 2016,74,True
2016,73,Sterling vs. Caraway,UFC Fight Night 88,May 2016,73,True
2016,77,Murphy vs. Faszholz,UFC Fight Night 83,Feb 2016,77,True
2016,76,Lesnar vs. Hunt,UFC 200,Jul 2016,76,True
2016,75,Villante vs. Safarov,UFC Fight Night 102,Dec 2016,75,True
2016,79,Cormier vs. Silva,UFC 200,Jul 2016,79,True
2016,78,Rosa vs. Bochniak,UFC Fight Night 81,Jan 2016,78,True
