event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff
UFC on FOX,joe lauzon,jim miller,Blue,Lightweight,0,Men,Decision - Split,3,3,300,John McCarthy,0,54,136,0.39,92,177,0.52,3,4,0.75,1,0,372,28,16,39.0,177.8,70.31,180.34,Orthodox,2.84,5.39,0.39,0.45,0.54,0.54,2.0,2.39,0,80,166,0.48,97,185,0.52,0,3,0.0,0,0,8,37,17,40.0,172.72,70.31,180.34,Southpaw,2.96,3.18,0.42,0.44,0.58,0.48,1.7,1.58,0,-26,-30,-0.09,-5,-8,0.0,3,1,0.75,1,0,364,-9,-1,-1.0,5.0800000000000125,0.0,0.0,-0.12,2.2099999999999995,-0.03,0.01,-0.04,0.06,0.3,0.81
UFC 155,jim miller,joe lauzon,Red,Lightweight,0,Men,Decision - Unanimous,3,3,300,Yves Lavigne,0,91,204,0.44,96,210,0.46,1,1,1.0,2,0,191,37,17,40.0,172.72,70.31,180.34,Southpaw,2.96,3.18,0.42,0.44,0.58,0.48,1.7,1.58,0,35,123,0.28,40,128,0.31,0,1,0.0,3,1,127,28,16,39.0,177.8,70.31,180.34,Orthodox,2.84,5.39,0.39,0.45,0.54,0.54,2.0,2.39,0,56,81,0.1599999999999999,56,82,0.15,1,0,1.0,-1,-1,64,9,1,1.0,-5.08,0.0,0.0,0.1200000000000001,-2.21,0.03,-0.01,0.0399999999999999,-0.06,-0.3,-0.81
UFC 108,cole miller,dan lauzon,Red,Lightweight,0,Men,Submission,1,3,185,Steve Mazzagatti,0,15,34,0.44,18,37,0.49,0,0,0.0,1,0,6,21,11,39.0,185.42,65.77,185.42,Orthodox,3.0,3.88,0.33,0.36,0.59,0.38,1.8,0.6,1,10,24,0.41,13,27,0.48,1,1,1.0,0,0,46,17,6,35.0,177.8,70.31,,Orthodox,1.34,4.09,0.25,0.33,0.61,0.8,2.7,1.63,-1,5,10,0.03,5,10,0.01,-1,-1,-1.0,1,0,-40,4,5,4.0,7.619999999999976,-4.54,,1.66,-0.21,0.08,0.03,-0.02,-0.42,-0.9,-1.03
UFC Fight Night,michael johnson,darrius flowers,Red,Lightweight,0,Men,Decision - Unanimous,3,3,300,Chris Tognoni,0,61,112,0.54,80,138,0.58,4,8,0.5,0,0,362,23,19,37.0,177.8,70.31,185.42,Southpaw,4.27,3.83,0.39,0.41,0.57,0.81,0.0,0.62,0,33,64,0.51,52,86,0.6,0,2,0.0,0,0,43,12,7,29.0,175.26,70.31,180.34,Orthodox,2.94,5.16,0.54,0.2,0.43,0.6,0.0,0.63,0,28,48,0.03,28,52,-0.02,4,6,0.5,0,0,319,11,12,8.0,2.5400000000000205,0.0,5.079999999999984,1.3299999999999996,-1.33,-0.15,0.2099999999999999,0.1399999999999999,0.21,0.0,-0.01
UFC Fight Night,chad anheliger,jose johnson,Blue,Bantamweight,0,Men,Submission,3,3,289,Chris Tognoni,0,26,71,0.36,47,103,0.46,4,8,0.5,0,1,378,13,7,37.0,167.64,61.23,162.56,Orthodox,3.6,3.11,0.45,0.3,0.53,0.42,0.6,0.82,0,63,108,0.58,141,198,0.71,1,2,0.5,1,2,260,16,8,28.0,182.88,56.7,180.34,Orthodox,2.8,1.73,0.6,0.5,0.55,0.36,0.6,0.62,0,-37,-37,-0.22,-94,-95,-0.25,3,6,0.0,-1,-1,118,-3,-1,9.0,-15.24,4.529999999999994,-17.78,0.8000000000000003,1.38,-0.15,-0.2,-0.02,0.06,0.0,0.1999999999999999
UFC Fight Night,diego ferreira,michael johnson,Red,Lightweight,0,Men,KO/TKO,2,3,110,Herb Dean,1,30,71,0.42,30,71,0.42,0,2,0.0,0,0,1,18,5,39.0,175.26,70.31,187.96,Orthodox,4.66,3.42,0.37,0.22,0.56,0.63,0.7,0.71,0,32,58,0.55,32,58,0.55,0,0,0.0,0,0,0,23,19,37.0,177.8,70.31,185.42,Southpaw,4.27,3.83,0.39,0.41,0.57,0.81,0.0,0.62,1,-2,13,-0.13,-2,13,-0.13,0,2,0.0,0,0,1,-5,-14,2.0,-2.54,0.0,2.5400000000000205,0.3900000000000005,-0.41,-0.02,-0.19,-0.01,-0.18,0.7,0.09
UFC Fight Night,charles johnson,jimmy flick,Red,Flyweight,0,Men,KO/TKO,1,3,273,Kerry Hatley,0,34,57,0.59,44,77,0.57,0,0,0.0,0,1,99,14,6,33.0,175.26,56.7,177.8,Switch,4.45,3.15,0.55,0.23,0.59,0.63,0.6,0.48,0,7,13,0.53,7,13,0.54,1,3,0.33,0,0,24,17,7,33.0,170.18,56.7,172.72,Orthodox,1.7,5.2,0.5,0.26,0.4,0.0,5.4,1.79,0,27,44,0.06,37,64,0.0299999999999999,-1,-3,-0.33,0,1,75,-3,-1,0.0,5.079999999999984,0.0,5.0800000000000125,2.75,-2.05,0.05,-0.03,0.1899999999999999,0.63,-4.8,-1.31
UFC Fight Night,michael johnson,marc diakiese,Red,Lightweight,0,Men,Decision - Unanimous,3,3,300,Keith Peterson,0,83,181,0.45,83,181,0.46,0,3,0.0,0,0,30,23,19,37.0,177.8,70.31,185.42,Southpaw,4.27,3.83,0.39,0.41,0.57,0.81,0.0,0.62,0,55,127,0.43,55,127,0.43,0,6,0.0,0,0,0,17,7,31.0,177.8,70.31,185.42,Orthodox,2.54,2.64,0.4,0.43,0.52,0.66,0.0,3.29,0,28,54,0.02,28,54,0.03,0,-3,0.0,0,0,30,6,12,6.0,0.0,0.0,0.0,1.7299999999999995,1.19,-0.01,-0.02,0.05,0.15,0.0,-2.67
UFC Fight Night,michael johnson,jamie mullarkey,Blue,Lightweight,0,Men,Decision - Split,3,3,300,Herb Dean,1,66,190,0.34,68,194,0.35,0,2,0.0,0,0,37,23,19,37.0,177.8,70.31,185.42,Southpaw,4.27,3.83,0.39,0.41,0.57,0.81,0.0,0.62,0,96,217,0.44,96,218,0.44,0,2,0.0,0,0,17,17,7,29.0,182.88,70.31,187.96,Orthodox,4.46,4.49,0.46,0.34,0.54,0.76,0.1,2.42,1,-30,-27,-0.1,-28,-24,-0.09,0,0,0.0,0,0,20,6,12,8.0,-5.08,0.0,-2.54,-0.19,-0.66,-0.07,0.07,0.0299999999999999,0.05,-0.1,-1.8
UFC Fight Night,michael johnson,alan patrick,Red,Lightweight,0,Men,KO/TKO,2,3,202,Herb Dean,1,30,48,0.62,40,61,0.66,1,1,1.0,0,0,121,23,19,37.0,177.8,70.31,185.42,Southpaw,4.27,3.83,0.39,0.41,0.57,0.81,0.0,0.62,0,22,47,0.46,30,56,0.54,0,5,0.0,0,0,12,15,4,40.0,180.34,70.31,187.96,Southpaw,1.82,2.95,0.4,0.33,0.43,0.43,0.3,3.01,1,8,1,0.1599999999999999,10,5,0.12,1,-4,1.0,0,0,109,8,15,-3.0,-2.54,0.0,-2.54,2.4499999999999997,0.8799999999999999,-0.01,0.08,0.1399999999999999,0.38,-0.3,-2.39
