event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff
UFC 129,jason macdonald,ryan jensen,Red,Middleweight,0,Men,Submission,1,3,97,Herb Dean,0,0,1,0,0,1,0,0,1,0,1,0,39,25,16,48,190.5,83.91,203.2,Orthodox,1.55,2.7,0.52,0.16,0.46,0.35,2,1.43,0,0,5,0,6,12,0.5,0,0,0,1,1,45,21,8,46,185.42,83.91,193.04,Orthodox,2.84,2.99,0.39,0.5,0.59,0.31,1.9,1.55,0,0,-4,0,-6,-11,-0.5,0,1,0,0,-1,-6,4,8,2,5.0800000000000125,0,10.159999999999997,-1.29,-0.29,0.13,-0.34,-0.13,0.04,0.1,-0.12
UFC 260,stipe miocic,francis ngannou,Blue,UFC Heavyweight Title,1,Men,KO/TKO,2,5,52,Herb Dean,0,12,13,0.92,12,13,0.92,0,1,0,0,0,4,20,4,41,193.04,108.86,203.2,Orthodox,4.82,3.82,0.53,0.34,0.54,0.68,0,1.86,2,36,56,0.64,38,58,0.66,1,2,0.5,0,0,22,17,3,37,193.04,113.4,210.82,Orthodox,2.33,2.16,0.41,0.62,0.41,0.71,0.3,0.76,-2,-24,-43,0.28,-26,-45,0.26,-1,-1,-0.5,0,0,-18,3,1,4,0,-4.54,-7.62,2.49,1.6599999999999997,0.12,-0.28,0.13,-0.03,-0.3,1.1
UFC 220,stipe miocic,francis ngannou,Red,UFC Heavyweight Title,1,Men,Decision - Unanimous,5,5,300,Herb Dean,0,70,95,0.73,200,244,0.82,6,14,0.42,0,0,905,20,4,41,193.04,108.86,203.2,Orthodox,4.82,3.82,0.53,0.34,0.54,0.68,0,1.86,0,21,113,0.18,33,126,0.26,0,1,0,1,0,2,17,3,37,193.04,113.4,210.82,Orthodox,2.33,2.16,0.41,0.62,0.41,0.71,0.3,0.76,0,49,-18,0.55,167,118,0.5599999999999999,6,13,0.42,-1,0,903,3,1,4,0,-4.54,-7.62,2.49,1.6599999999999997,0.12,-0.28,0.13,-0.03,-0.3,1.1
UFC 221,jake matthews,li jingliang,Red,Welterweight,0,Men,Decision - Unanimous,3,3,300,Mark Simpson,2,63,127,0.49,89,156,0.57,2,4,0.5,1,0,206,19,7,29,180.34,77.11,185.42,Orthodox,3.3,2.56,0.45,0.4,0.6,0.62,0.6,1.59,0,49,152,0.32,56,163,0.34,0,1,0,0,1,71,19,8,36,182.88,77.11,180.34,Orthodox,4.46,3.84,0.42,0.41,0.57,0.6,0,1.25,2,14,-25,0.1699999999999999,33,-7,0.2299999999999999,2,3,0.5,1,-1,135,0,-1,-7,-2.54,0,5.079999999999984,-1.16,-1.28,0.03,-0.01,0.03,0.02,0.6,0.3400000000000001
UFC Fight Night,jake matthews,bojan velickovic,Red,Welterweight,0,Men,Decision - Split,3,3,300,Jim Perdios,0,20,34,0.58,50,69,0.72,4,11,0.36,0,1,427,19,7,29,180.34,77.11,185.42,Orthodox,3.3,2.56,0.45,0.4,0.6,0.62,0.6,1.59,0,24,48,0.5,113,163,0.69,1,1,1,1,2,278,15,6,35,182.88,77.11,193.04,Southpaw,2.18,2.31,0.34,0.25,0.57,0.55,0.5,0.67,0,-4,-14,0.08,-63,-94,0.03,3,10,-0.64,-1,-1,149,4,1,-6,-2.54,0,-7.62,1.1199999999999997,0.25,0.1099999999999999,0.15,0.03,0.07,0.1,0.92
UFC 191,jessica andrade,raquel pennington,Blue,Women's Bantamweight,0,Women,Submission,2,3,298,Herb Dean,0,41,66,0.62,59,87,0.68,4,5,0.8,1,0,208,25,12,32,154.94,52.16,157.48,Orthodox,6.67,5.36,0.5,0.54,0.54,0.72,0.4,2.45,0,41,68,0.6,66,96,0.69,2,2,1,1,0,184,16,9,35,170.18,61.23,170.18,Orthodox,4.14,3.29,0.52,0.27,0.6,0.63,0.7,0.9,0,0,-2,0.02,-7,-9,-0.01,2,3,-0.2,0,0,24,9,3,-3,-15.24,-9.07,-12.7,2.53,2.0700000000000003,-0.02,0.27,-0.06,0.09,-0.3,1.5500000000000005
UFC 171,raquel pennington,jessica andrade,Blue,Women's Bantamweight,0,Women,Decision - Split,3,3,300,Don Turnage,0,82,167,0.49,87,172,0.51,2,3,0.66,2,0,80,16,9,35,170.18,61.23,170.18,Orthodox,4.14,3.29,0.52,0.27,0.6,0.63,0.7,0.9,0,66,158,0.41,90,185,0.49,3,8,0.37,0,0,380,25,12,32,154.94,52.16,157.48,Orthodox,6.67,5.36,0.5,0.54,0.54,0.72,0.4,2.45,0,16,9,0.08,-3,-13,0.02,-1,-5,0.29,2,0,-300,-9,-3,3,15.240000000000007,9.07,12.700000000000015,-2.53,-2.07,0.02,-0.27,0.06,-0.09,0.2999999999999999,-1.55
UFC Fight Night,randy brown,wellington turman,Red,Welterweight,0,Men,Decision - Unanimous,3,3,300,Andrew Glenn,0,64,134,0.47,78,156,0.5,2,2,1,0,0,167,18,5,33,190.5,77.11,198.12,Orthodox,4.37,3.33,0.46,0.39,0.54,0.74,0.5,0.78,0,55,105,0.52,96,153,0.63,0,5,0,0,0,185,18,8,27,182.88,77.11,182.88,Orthodox,3.23,4.17,0.51,0.2,0.45,0.42,0.8,1.55,0,9,29,-0.05,-18,3,-0.13,2,-3,1,0,0,-18,0,-3,6,7.620000000000003,0,15.240000000000007,1.14,-0.84,-0.05,0.19,0.09,0.32,-0.3,-0.77
UFC 284,jack della maddalena,randy brown,Red,Welterweight,0,Men,Submission,1,3,133,Marc Goddard,1,14,31,0.45,18,35,0.51,0,0,0,1,0,15,17,2,27,180.34,77.11,185.42,Switch,6.74,4.27,0.53,0.16,0.66,0.7,0.2,0.21,0,11,39,0.28,11,39,0.28,0,0,0,0,0,0,18,5,33,190.5,77.11,198.12,Orthodox,4.37,3.33,0.46,0.39,0.54,0.74,0.5,0.78,1,3,-8,0.1699999999999999,7,-4,0.2299999999999999,0,0,0,1,0,15,-1,-3,-6,-10.16,0,-12.7,2.37,0.9399999999999996,0.07,-0.23,0.12,-0.04,-0.3,-0.57
UFC Fight Night,matt brown,dhiego lima,Red,Welterweight,0,Men,KO/TKO,2,3,182,Herb Dean,1,27,49,0.55,30,52,0.58,0,0,0,0,0,0,26,19,43,182.88,77.11,190.5,Orthodox,3.76,2.92,0.55,0.46,0.55,0.63,1.3,1.68,0,23,54,0.42,23,54,0.43,0,4,0,0,0,52,17,9,35,187.96,77.11,190.5,Orthodox,3.12,3.88,0.39,0.34,0.58,0.73,0.6,1.26,1,4,-5,0.13,7,-2,0.1499999999999999,0,-4,0,0,0,-52,9,10,8,-5.08,0,0,0.6399999999999997,-0.96,0.16,0.12,-0.03,-0.1,0.7000000000000001,0.4199999999999999
